c;sdmu_h;numgen;v;N;seed;init_pD;mu_h;init_pH;runtime;generation;meanpH;meanpD;varpH;varpD;freq_hawk;file
3;0.02;40000;1;5000;806251411;0.2;0.01;0.3;0;40000;0.5155;0.74933;0.0021603;0.0059679;0.3394;./hpcbatch_16_08_2017_230103/core_35/sim_hd_17_8_2017_082743_805848683
5;0.02;40000;1;5000;711823935;0.3;0.01;0.3;0;40000;0.16338;0.8065;0.0064141;0.0039917;0.179;./hpcbatch_16_08_2017_230103/core_157/sim_hd_17_8_2017_093428_711432469
5;0.02;40000;1;5000;800734201;0.2;0.01;0.1;0;40000;0.18109;0.80338;0.0053837;0.0047393;0.1876;./hpcbatch_16_08_2017_230103/core_134/sim_hd_17_8_2017_092713_800362444
3;0.02;40000;1;5000;551218697;1;0.01;0.3;0;40000;0.50089;0.75627;0.025452;0.019853;0.3304;./hpcbatch_16_08_2017_230103/core_43/sim_hd_17_8_2017_082958_550878414
5;0.02;40000;1;5000;869049233;0.2;0.01;0.7;0;40000;0.22185;0.74617;0.0095492;0.053837;0.2;./hpcbatch_16_08_2017_230103/core_200/sim_hd_17_8_2017_101615_868683095
5;0.02;40000;1;5000;652856318;0.3;0.01;1;0;40000;0.21278;0.8275;0.024255;0.012306;0.1854;./hpcbatch_16_08_2017_230103/core_234/sim_hd_17_8_2017_102643_652549160
5;0.02;40000;1;5000;533450358;0.2;0.01;0.5;0;40000;0.28394;0.80168;0.0084714;0.020276;0.2006;./hpcbatch_16_08_2017_230103/core_178/sim_hd_17_8_2017_101045_533154294
5;0.02;40000;1;5000;550018491;0;0.01;0.5;0;40000;0.30658;0.82317;0.0032888;0.0079001;0.1894;./hpcbatch_16_08_2017_230103/core_176/sim_hd_17_8_2017_100930_549695545
5;0.02;40000;1;5000;617376629;0.4;0.01;0.4;0;40000;0.24305;0.82275;0.0084719;0.0023509;0.1962;./hpcbatch_16_08_2017_230103/core_169/sim_hd_17_8_2017_100400_617017237
5;0.02;40000;1;5000;666553504;0.9;0.01;1;0;40000;0.67931;0.90773;0.0031059;0.003066;0.2134;./hpcbatch_16_08_2017_230103/core_240/sim_hd_17_8_2017_103028_666209235
